dispnum3,incidnum3,dispnum4,incidnum4,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3561,3561020,-9,-9,RUS,365,1,4,1993,1,4,1993,0,1,-9,-9,17,4,2,0,4.3000002
3561,3561020,-9,-9,GRG,372,1,4,1993,1,4,1993,1,0,-9,-9,17,4,2,0,4.3000002
3561,3561021,-9,-9,GRG,372,2,4,1993,2,4,1993,0,0,0,0,0,1,0,0,4.3000002
3561,3561021,-9,-9,RUS,365,2,4,1993,2,4,1993,1,1,0,0,1,2,2,0,4.3000002
3561,3561022,-9,-9,GRG,372,1,7,1993,1,7,1993,0,0,-9,-9,17,4,2,0,4.3000002
3561,3561022,-9,-9,RUS,365,1,7,1993,1,7,1993,1,1,1,10,17,4,2,0,4.3000002
3561,3561023,-9,-9,GRG,372,2,7,1993,2,7,1993,0,0,0,0,0,1,0,0,4.3000002
3561,3561023,-9,-9,RUS,365,2,7,1993,2,7,1993,1,1,0,0,12,3,2,0,4.3000002
3561,3561024,-9,-9,GRG,372,3,7,1993,3,7,1993,0,0,-9,-9,0,1,0,0,4.3000002
3561,3561024,-9,-9,RUS,365,3,7,1993,3,7,1993,1,1,-9,-9,16,4,2,0,4.3000002
3561,3561025,-9,-9,RUS,365,26,10,1993,26,10,1993,0,1,0,0,0,1,0,0,4.3000002
3561,3561025,-9,-9,GRG,372,26,10,1993,26,10,1993,1,0,0,0,16,4,2,0,4.3000002
3561,3561026,-9,-9,GRG,372,26,10,1993,26,10,1993,0,0,0,0,0,1,0,0,4.3000002
3561,3561026,-9,-9,RUS,365,26,10,1993,26,10,1993,1,1,0,0,7,3,2,0,4.3000002
3564,3564001,-9,-9,AZE,373,26,1,1992,26,1,1992,0,0,2,60,17,4,1,0,4.3000002
3564,3564001,-9,-9,ARM,371,26,1,1992,26,1,1992,1,1,-9,-9,17,4,1,0,4.3000002
3564,3564002,-9,-9,AZE,373,2,2,1992,23,2,1992,0,0,1,9,17,4,1,0,4.3000002
3564,3564002,-9,-9,ARM,371,2,2,1992,23,2,1992,1,1,-9,-9,17,4,1,0,4.3000002
3564,3564003,-9,-9,AZE,373,26,2,1992,7,3,1992,0,0,2,100,17,4,1,0,4.3000002
3564,3564003,-9,-9,ARM,371,26,2,1992,7,3,1992,1,1,2,100,17,4,1,0,4.3000002
3564,3564004,-9,-9,AZE,373,23,4,1992,26,4,1992,0,0,-9,-9,17,4,1,0,4.3000002
3564,3564004,-9,-9,ARM,371,23,4,1992,26,4,1992,1,1,1,10,17,4,1,0,4.3000002
3564,3564005,-9,-9,AZE,373,4,5,1992,4,5,1992,0,0,1,3,17,4,1,0,4.3000002
3564,3564005,-9,-9,ARM,371,4,5,1992,4,5,1992,1,1,2,40,17,4,1,0,4.3000002
3564,3564006,-9,-9,AZE,373,8,5,1992,8,5,1992,0,0,-9,-9,17,4,1,0,4.3000002
3564,3564006,-9,-9,ARM,371,8,5,1992,8,5,1992,1,1,-9,-9,17,4,1,0,4.3000002
3564,3564007,-9,-9,AZE,373,10,5,1992,10,5,1992,0,0,3,108,17,4,1,0,4.3000002
3564,3564007,-9,-9,ARM,371,10,5,1992,10,5,1992,1,1,1,12,17,4,1,0,4.3000002
3564,3564008,-9,-9,AZE,373,17,5,1992,21,5,1992,0,0,1,11,17,4,1,0,4.3000002
3564,3564008,-9,-9,ARM,371,17,5,1992,21,5,1992,1,1,1,10,17,4,1,0,4.3000002
3564,3564009,-9,-9,AZE,373,13,6,1992,13,6,1992,0,0,2,50,17,4,1,0,4.3000002
3564,3564009,-9,-9,ARM,371,13,6,1992,13,6,1992,1,1,1,15,17,4,1,0,4.3000002
